car_age,brand_target_enc,transmission_enc,mileage_km,mileage_per_year,is_luxury,fuel_Essence,fuel_Diesel,region_enc,fuel_Hybride
-0.625,-0.5761199740234054,0.0,-0.3401636024945331,0.47973626373626377,0.0,0.0,0.0,-0.16666666666666666,0.0
-0.375,4.162923335525442,1.0,-0.16113225884830323,0.2816481004709577,1.0,0.0,0.0,-0.5,0.0
0.0,2.8330723144246086,1.0,-0.06560298048108852,-0.11594373626373629,1.0,0.0,0.0,-0.5,0.0
0.0,1.0397655014406662,0.0,-0.03234793877055155,-0.06807950769230767,0.0,0.0,0.0,-0.5,0.0
-0.5,0.0,0.0,-0.16198266785453957,0.5768791208791207,0.0,0.0,0.0,-0.5,0.0
-0.625,0.4614510323474599,0.0,0.14092492103344942,1.8646048351648352,0.0,0.0,0.0,-0.5,0.0
-0.875,-0.5761199740234054,0.0,-0.6722280715963392,0.20773626373626367,0.0,0.0,0.0,-0.5,0.0
-0.5,0.4279026024478907,1.0,-0.16198266785453957,0.5768791208791207,0.0,0.0,0.0,-0.5,0.0
-0.625,-0.5385489676525401,0.0,-0.20247833481817445,0.8760791208791209,0.0,0.0,0.0,0.3333333333333333,0.0
-0.375,0.0,0.0,-0.17177452012634647,0.25976597802197804,0.0,0.0,0.0,-0.5,0.0
-0.5,1.4598072230740955,1.0,0.4049566696363489,1.9368791208791212,1.0,0.0,0.0,0.5,0.0
-0.375,0.12198150741879472,0.0,0.4130558030290759,1.4622668759811617,0.0,0.0,0.0,-0.6666666666666666,0.0
0.0,0.0,0.0,0.4130558030290759,0.5729934065934066,0.0,0.0,0.0,-0.5,0.0
1.0,1.590241665820839,0.0,1.077184741232688,0.18183150183150193,1.0,0.0,0.0,-0.6666666666666666,0.0
-0.125,0.4614510323474599,0.0,0.2672714019599903,0.5704029304029303,0.0,0.0,0.0,-0.16666666666666666,0.0
-1.125,2.045930786810197,1.0,-0.8504090062363328,1.0625934065934066,1.0,0.0,0.0,0.5,0.0
-1.125,-0.5385489676525401,1.0,-0.4931562322831457,6.2045591208791215,0.0,0.0,0.0,-0.5,0.0
-0.625,1.4598072230740955,1.0,-0.4616506033854378,0.130021978021978,1.0,0.0,0.0,-0.5,0.0
-1.125,-0.5385489676525401,1.0,-0.4498339677654491,6.828099692307693,0.0,0.0,0.0,-0.5,0.0
-0.625,1.4598072230740955,1.0,-0.0142301773710213,1.4179730637362635,1.0,0.0,0.0,-0.5,0.0
-0.25,1.4598072230740955,1.0,0.45464485300072893,1.1665605494505495,1.0,0.0,0.0,-0.5,0.0
-1.25,0.12198150741879472,1.0,-0.8342107394508788,1.2957362637362637,0.0,0.0,0.0,0.3333333333333333,0.0
-1.125,-0.5385489676525401,0.0,-0.42066898841823924,7.247873406593407,0.0,0.0,0.0,-0.5,0.0
-1.25,-0.5385489676525401,0.0,-0.5105855673442942,5.953697406593407,0.0,0.0,0.0,-0.5,0.0
-0.75,-0.19060264261919174,0.0,-0.20247833481817445,1.4705934065934065,0.0,0.0,0.0,0.5,0.0
0.875,-0.5667032431345539,0.0,-0.05669393374908885,-0.6791208791208792,0.0,0.0,0.0,-0.5,0.0
-0.75,-0.5761199740234054,0.0,-0.2834696687454442,1.1791648351648352,0.0,0.0,0.0,-0.5,0.0
-0.625,2.045930786810197,1.0,0.3314327366971734,2.4130034637362643,1.0,0.0,0.0,-0.5,0.0
-0.625,-0.5385489676525401,1.0,0.17008180124726655,1.948536263736264,0.0,0.0,0.0,0.0,0.0
-0.25,-0.5385489676525401,0.0,-0.32396533570907915,-0.23426373626373628,0.0,1.0,-1.0,0.3333333333333333,0.0
-0.75,0.06513347925204904,0.0,-0.24621365513890014,1.313221978021978,0.0,1.0,-1.0,-0.16666666666666666,0.0
-1.0,-0.8863363539251966,1.0,-0.5831376042763424,1.7037362637362639,0.0,1.0,-1.0,-0.5,0.0
-0.375,-0.5385489676525401,1.0,0.17818093463999352,0.9793281004709578,0.0,0.0,0.0,-0.5,0.0
-0.625,0.4614510323474599,1.0,-0.6236332712399774,-0.3362637362637363,0.0,0.0,0.0,-0.5,0.0
-1.125,1.590241665820839,1.0,-0.9071029399854216,0.2465934065934066,1.0,0.0,0.0,-0.5,0.0
-1.0,0.12198150741879472,1.0,-0.8892848465214223,-0.4994637362637363,0.0,1.0,-1.0,-0.5,0.0
-0.625,5.564270523316105,1.0,-0.3401636024945331,0.47973626373626377,1.0,1.0,-1.0,-0.5,0.0
-0.875,0.4614510323474599,1.0,-0.4616506033854378,1.2180219780219779,0.0,0.0,0.0,-0.5,0.0
-0.875,-0.1986178998026808,0.0,-0.7046246051672471,0.05230769230769237,0.0,1.0,-1.0,-0.5,0.0
0.5,-0.19060264261919174,0.0,-0.05669393374908885,-0.5027943485086344,0.0,0.0,0.0,-0.5,0.0
-0.625,1.4598072230740955,1.0,-0.42925406981452985,0.22327912087912088,1.0,0.0,0.0,-0.5,0.0
1.125,-0.19060264261919174,0.0,1.085283874625415,0.09934528629265475,0.0,0.0,0.0,0.5,0.0
-1.25,-0.5761199740234054,0.0,-1.0046165060338543,-1.1569265934065935,0.0,0.0,0.0,-0.5,0.0
-0.5,-1.15532733497939,0.0,-0.2931886288167166,0.2621362637362638,0.0,1.0,-1.0,-0.5,0.0
0.125,-0.5385489676525401,0.0,0.5345428039199805,0.5433206793206792,0.0,0.0,0.0,-0.5,0.0
0.375,2.045930786810197,0.0,0.753219405523609,0.47076923076923066,1.0,0.0,0.0,-0.5,0.0
-0.25,1.0397655014406662,1.0,-0.012958613428363165,0.32527912087912086,0.0,0.0,0.0,-0.5,0.0
-1.125,-0.6924878630940116,0.0,-1.0010528873410545,-1.105635164835165,0.0,1.0,-1.0,-0.3333333333333333,0.0
-1.125,0.06513347925204904,1.0,-0.7937150724872438,1.8785934065934067,0.0,0.0,0.0,0.6666666666666666,0.0
-0.625,-0.690880470035392,0.0,-0.17008180124726655,0.9693362637362638,0.0,0.0,0.0,-0.5,0.0
0.125,-0.5761199740234054,0.0,0.4616506033854378,0.447944055944056,0.0,0.0,0.0,-0.5,0.0
